9.0751 	EXP 	Device response: <KeyPress from None: t=9.074239999987185, value=right, duration=None>
9.0768 	DATA 	Keypress: right
9.0912 	EXP 	fixation: autoDraw = False
9.0912 	EXP 	grating: autoDraw = False
9.0912 	EXP 	grating: ori = np.float64(-7.0)
9.0912 	EXP 	fixation: autoDraw = True
9.2748 	EXP 	Device response: <KeyPress from None: t=9.074239999987185, value=right, duration=0.19672490004450083>
9.5908 	INFO 	Keyboard events cleared
9.5907 	EXP 	fixation: autoDraw = False
9.5907 	EXP 	grating: autoDraw = True
9.8906 	EXP 	grating: autoDraw = False
9.9742 	EXP 	Device response: <KeyPress from None: t=9.970143600017764, value=left, duration=None>
9.9758 	DATA 	Keypress: left
9.9904 	EXP 	fixation: autoDraw = False
9.9904 	EXP 	grating: autoDraw = False
9.9904 	EXP 	grating: ori = np.float64(-7.0)
9.9904 	EXP 	fixation: autoDraw = True
10.1578 	EXP 	Device response: <KeyPress from None: t=9.970143600017764, value=left, duration=0.18150860001333058>
10.4734 	INFO 	Keyboard events cleared
10.4733 	EXP 	grating: autoDraw = True
10.4899 	EXP 	fixation: autoDraw = False
10.7733 	EXP 	grating: autoDraw = False
10.8736 	EXP 	Device response: <KeyPress from None: t=10.861137800035067, value=left, duration=None>
10.8751 	DATA 	Keypress: left
10.8900 	EXP 	fixation: autoDraw = False
10.8900 	EXP 	grating: autoDraw = False
10.8900 	EXP 	grating: ori = np.float64(6.5)
10.8900 	EXP 	fixation: autoDraw = True
11.0570 	EXP 	Device response: <KeyPress from None: t=10.861137800035067, value=left, duration=0.1831669999519363>
11.3730 	INFO 	Keyboard events cleared
11.3728 	EXP 	grating: autoDraw = True
11.3896 	EXP 	fixation: autoDraw = False
11.6728 	EXP 	grating: autoDraw = False
11.7398 	EXP 	Device response: <KeyPress from None: t=11.735784000018612, value=right, duration=None>
11.7414 	DATA 	Keypress: right
11.7560 	EXP 	fixation: autoDraw = False
11.7560 	EXP 	grating: autoDraw = False
11.7560 	EXP 	grating: ori = np.float64(6.5)
11.7560 	EXP 	fixation: autoDraw = True
11.9231 	EXP 	Device response: <KeyPress from None: t=11.735784000018612, value=right, duration=0.1741543000098318>
12.2560 	INFO 	Keyboard events cleared
12.2558 	EXP 	fixation: autoDraw = False
12.2558 	EXP 	grating: autoDraw = True
12.5556 	EXP 	grating: autoDraw = False
12.6561 	EXP 	Device response: <KeyPress from None: t=12.65366960002575, value=right, duration=None>
12.6576 	DATA 	Keypress: right
12.6723 	EXP 	fixation: autoDraw = False
12.6723 	EXP 	grating: autoDraw = False
12.6723 	EXP 	grating: ori = np.float64(6.5)
12.6723 	EXP 	fixation: autoDraw = True
12.8392 	EXP 	Device response: <KeyPress from None: t=12.65366960002575, value=right, duration=0.17505189997609705>
